                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98533,                 3.6029,                  1.088,                0.45861,                0.36028,                0.44892,                0.34093,                  1.171,                 4.5249,                 1.3616,               0.067344,             0.00032986,             0.00032986
                      1,                0.63865,                0.52721,                  0.908,                 0.7269,                0.59886,                0.65022,                0.49539,                0.91004,                 1.7688,                 1.1397,               0.034344,             0.00066303,             0.00066303
                      2,                0.61979,                0.47425,                0.90638,                0.91299,                 0.8575,                0.92195,                0.73683,                0.77299,                0.73887,                 1.0364,              0.0013428,             0.00099555,             0.00099555
                      3,                0.58508,                0.44158,                 0.8949,                0.90175,                0.74033,                0.84187,                0.64629,                0.93499,                0.90761,                 1.1382,              0.0009978,              0.0009978,              0.0009978
                      4,                 0.5567,                0.41998,                0.88627,                0.93181,                0.81052,                0.90557,                0.70264,                0.85982,                0.90196,                 1.0976,              0.0009978,              0.0009978,              0.0009978
                      5,                0.53576,                  0.395,                0.87539,                 0.9667,                0.89296,                 0.9465,                0.76418,                0.74066,                0.55106,                 1.0163,              0.0009961,              0.0009961,              0.0009961
                      6,                0.50124,                0.36089,                 0.8681,                 0.9661,                0.95157,                0.98383,                0.82532,                 0.6708,                0.43176,                0.96654,             0.00099391,             0.00099391,             0.00099391
                      7,                0.48426,                0.35274,                0.86541,                 0.9733,                0.96178,                0.98614,                0.82396,                0.66268,                 0.4008,                0.97506,             0.00099123,             0.00099123,             0.00099123
                      8,                0.48092,                0.34423,                0.86067,                0.95385,                0.92487,                0.97019,                0.79596,                0.70968,                0.46042,                 1.0085,             0.00098808,             0.00098808,             0.00098808
                      9,                0.46059,                0.34154,                0.85481,                0.96729,                0.92238,                0.97552,                0.81085,                 0.6605,                0.45297,                 0.9647,             0.00098445,             0.00098445,             0.00098445
                     10,                0.47157,                0.33771,                0.85578,                0.98023,                0.91472,                0.97324,                0.82404,                0.65841,                0.45609,                 0.9566,             0.00098035,             0.00098035,             0.00098035
                     11,                0.44788,                0.32513,                 0.8541,                 0.9769,                0.96629,                0.99243,                0.85085,                0.59965,                0.36451,                0.93428,             0.00097577,             0.00097577,             0.00097577
                     12,                0.43707,                0.30871,                0.84346,                0.96415,                0.94518,                0.98047,                0.82419,                0.63853,                0.41068,                0.97169,             0.00097074,             0.00097074,             0.00097074
                     13,                0.42354,                0.30323,                0.83948,                0.97762,                0.95964,                0.98525,                0.83936,                0.62417,                0.36643,                0.95716,             0.00096524,             0.00096524,             0.00096524
                     14,                 0.4243,                0.30282,                0.84086,                0.96452,                0.93153,                 0.9768,                0.84255,                 0.5938,                0.40413,                0.93595,             0.00095929,             0.00095929,             0.00095929
                     15,                0.41114,                 0.2973,                0.84264,                0.88348,                0.79951,                0.88923,                0.72177,                0.77528,                0.79883,                 1.0605,             0.00095289,             0.00095289,             0.00095289
                     16,                0.40372,                0.28765,                0.83367,                0.96277,                0.93172,                0.98205,                0.83741,                0.66604,                0.42978,                  0.977,             0.00094605,             0.00094605,             0.00094605
                     17,                0.40742,                 0.2886,                0.83827,                0.97354,                0.93753,                0.98126,                0.84515,                 0.6454,                0.38553,                0.96109,             0.00093877,             0.00093877,             0.00093877
                     18,                0.39578,                0.27941,                 0.8374,                0.97424,                0.96382,                0.99174,                0.86623,                0.56737,                0.33596,                0.92607,             0.00093107,             0.00093107,             0.00093107
                     19,                0.40241,                0.28369,                0.83039,                0.98104,                0.94508,                0.98819,                0.86642,                0.58445,                0.38205,                0.93422,             0.00092294,             0.00092294,             0.00092294
                     20,                0.39034,                0.27874,                0.83214,                0.97038,                0.96454,                0.98938,                0.86076,                0.58257,                 0.3507,                0.92697,              0.0009144,              0.0009144,              0.0009144
                     21,                0.37797,                0.27222,                0.82966,                0.97582,                0.95752,                0.98454,                0.85802,                0.56775,                0.38464,                0.92225,             0.00090546,             0.00090546,             0.00090546
                     22,                0.37997,                0.27268,                0.83257,                 0.9648,                0.95135,                0.98522,                0.86351,                0.58324,                0.37597,                0.94305,             0.00089613,             0.00089613,             0.00089613
                     23,                0.36688,                0.26497,                0.82648,                0.97787,                0.95113,                0.98591,                0.85528,                 0.5901,                0.35315,                0.93966,              0.0008864,              0.0008864,              0.0008864
                     24,                0.36986,                0.26459,                 0.8302,                0.96321,                0.91564,                0.96045,                0.81894,                0.60739,                0.42962,                 0.9647,              0.0008763,              0.0008763,              0.0008763
                     25,                0.36439,                0.25743,                0.82911,                0.98555,                0.95898,                0.98785,                0.86452,                0.59722,                0.34755,                0.93657,             0.00086584,             0.00086584,             0.00086584
                     26,                0.36462,                0.25969,                0.81722,                0.97326,                 0.9565,                0.98402,                0.84362,                0.59363,                0.35614,                0.94039,             0.00085502,             0.00085502,             0.00085502
                     27,                0.35966,                0.25735,                0.82408,                0.97789,                0.97148,                0.99183,                0.86228,                0.56911,                0.31564,                0.92137,             0.00084385,             0.00084385,             0.00084385
                     28,                0.36237,                0.25537,                0.82334,                0.98396,                0.95958,                0.98561,                0.87572,                0.54779,                0.33201,                0.91156,             0.00083235,             0.00083235,             0.00083235
                     29,                0.35813,                0.25072,                0.82427,                0.97825,                0.96046,                0.98733,                0.86089,                0.59583,                 0.3573,                0.93792,             0.00082052,             0.00082052,             0.00082052
                     30,                0.35436,                0.25234,                0.82766,                0.98087,                0.94593,                0.98179,                0.86215,                0.57366,                0.36281,                0.92435,             0.00080839,             0.00080839,             0.00080839
                     31,                0.35004,                0.24785,                0.82441,                0.98568,                0.97144,                 0.9926,                0.87414,                0.55162,                0.30489,                0.91854,             0.00079595,             0.00079595,             0.00079595
                     32,                0.34108,                0.23772,                0.81181,                0.98219,                0.96924,                0.98967,                0.87533,                0.54374,                 0.3125,                0.91652,             0.00078323,             0.00078323,             0.00078323
                     33,                0.34634,                0.24448,                0.82331,                0.98073,                0.98387,                0.99413,                0.87575,                0.54533,                0.28587,                0.91145,             0.00077023,             0.00077023,             0.00077023
                     34,                0.33772,                0.23721,                0.81761,                0.98159,                0.96044,                0.98764,                 0.8719,                0.55185,                0.31469,                0.92256,             0.00075698,             0.00075698,             0.00075698
                     35,                0.33167,                 0.2363,                0.81553,                0.99086,                 0.9526,                 0.9868,                0.87701,                0.55346,                0.32645,                0.92532,             0.00074347,             0.00074347,             0.00074347
                     36,                0.32937,                0.23604,                0.81389,                0.98208,                0.96134,                0.98906,                0.87439,                0.55013,                0.30579,                0.91763,             0.00072973,             0.00072973,             0.00072973
                     37,                0.32812,                 0.2331,                0.81593,                0.98222,                0.97087,                0.99023,                0.87281,                0.55198,                0.29412,                0.92246,             0.00071576,             0.00071576,             0.00071576
                     38,                0.32566,                0.22932,                0.80837,                0.98862,                0.97583,                0.99397,                0.88849,                0.54098,                 0.2846,                0.91057,             0.00070159,             0.00070159,             0.00070159
                     39,                0.32408,                 0.2258,                 0.8133,                0.98809,                0.98451,                0.99439,                 0.8866,                0.54577,                0.27797,                0.91958,             0.00068722,             0.00068722,             0.00068722
                     40,                0.32831,                0.22731,                0.81473,                0.98088,                0.96936,                0.99302,                0.89282,                0.52496,                0.29711,                0.90909,             0.00067268,             0.00067268,             0.00067268
                     41,                 0.3304,                0.22914,                0.81718,                0.97682,                0.92586,                0.96824,                0.83526,                0.63991,                0.44408,                0.98359,             0.00065796,             0.00065796,             0.00065796
                     42,                 0.3148,                0.22041,                0.81416,                0.98835,                 0.9833,                0.99409,                0.86824,                0.54827,                0.28272,                0.90792,              0.0006431,              0.0006431,              0.0006431
                     43,                0.32373,                0.22751,                0.82063,                0.98495,                0.95738,                0.98647,                 0.8822,                0.54142,                0.31385,                0.92192,              0.0006281,              0.0006281,              0.0006281
                     44,                0.31393,                0.22062,                0.80473,                0.98363,                0.97056,                0.99102,                0.88449,                0.54182,                0.28914,                0.91385,             0.00061298,             0.00061298,             0.00061298
                     45,                0.31018,                  0.221,                0.80885,                0.98539,                0.97627,                0.99335,                0.89279,                0.52477,                0.27944,                0.90251,             0.00059775,             0.00059775,             0.00059775
                     46,                0.31018,                0.21028,                0.80992,                0.98629,                0.97803,                0.99387,                0.89721,                0.51853,                0.27121,                 0.8984,             0.00058244,             0.00058244,             0.00058244
                     47,                0.30996,                 0.2156,                0.80705,                0.98902,                 0.9855,                0.99459,                0.88791,                0.52918,                0.26354,                0.90333,             0.00056704,             0.00056704,             0.00056704
                     48,                0.30321,                0.20883,                0.80523,                0.98458,                0.98162,                0.99418,                0.89254,                0.52126,                0.26014,                0.89456,             0.00055158,             0.00055158,             0.00055158
                     49,                0.30834,                0.21264,                0.80979,                0.98121,                0.96363,                0.99171,                0.88511,                0.53394,                0.30628,                0.89935,             0.00053608,             0.00053608,             0.00053608
                     50,                0.29893,                0.20389,                0.80415,                0.99082,                0.97627,                0.99358,                0.89443,                0.52463,                0.27407,                0.89832,             0.00052055,             0.00052055,             0.00052055
                     51,                0.29887,                0.20443,                0.80954,                0.98488,                0.99121,                0.99462,                0.89383,                0.51754,                0.25203,                0.89961,               0.000505,               0.000505,               0.000505
                     52,                0.29711,                 0.2064,                0.80779,                0.98498,                0.97991,                0.99421,                0.89365,                0.51673,                0.26604,                0.89777,             0.00048945,             0.00048945,             0.00048945
                     53,                0.29873,                0.20488,                0.80971,                0.99077,                 0.9732,                0.99246,                0.89531,                0.51492,                0.27117,                0.89114,             0.00047392,             0.00047392,             0.00047392
                     54,                0.29012,                0.20027,                0.80151,                0.98517,                0.98243,                0.99442,                0.89722,                0.51834,                0.25923,                0.89795,             0.00045842,             0.00045842,             0.00045842
                     55,                0.29578,                 0.2032,                0.80694,                0.98505,                0.98858,                0.99452,                0.89937,                0.51254,                 0.2537,                0.89348,             0.00044296,             0.00044296,             0.00044296
                     56,                 0.2887,                0.20483,                0.80605,                0.98976,                0.97698,                0.99407,                0.89711,                  0.517,                0.25628,                0.89532,             0.00042756,             0.00042756,             0.00042756
                     57,                0.28819,                0.19463,                0.80416,                0.98709,                0.97393,                0.99373,                0.89437,                0.52996,                0.26845,                0.90961,             0.00041225,             0.00041225,             0.00041225
                     58,                0.28092,                0.19283,                0.80137,                0.98331,                0.98726,                0.99427,                0.89938,                0.51321,                0.25045,                 0.8921,             0.00039702,             0.00039702,             0.00039702
                     59,                0.28209,                0.19524,                0.79814,                0.98842,                0.97487,                0.99384,                0.89499,                0.51604,                0.26129,                0.89712,              0.0003819,              0.0003819,              0.0003819
                     60,                0.27062,                0.18398,                0.79499,                0.98201,                0.98312,                0.99409,                 0.9022,                0.50555,                0.25452,                0.89381,              0.0003669,              0.0003669,              0.0003669
                     61,                0.27817,                0.18769,                0.80066,                0.99319,                0.98023,                0.99422,                0.90072,                0.50939,                0.25203,                0.89597,             0.00035204,             0.00035204,             0.00035204
                     62,                0.27955,                0.18801,                0.80262,                0.98976,                 0.9877,                0.99457,                0.90239,                0.50824,                0.24478,                0.89711,             0.00033732,             0.00033732,             0.00033732
                     63,                0.27238,                0.18668,                0.79884,                0.99354,                0.98199,                0.99457,                0.90101,                0.51321,                0.24334,                0.89759,             0.00032278,             0.00032278,             0.00032278
                     64,                0.27266,                 0.1866,                 0.8009,                0.98763,                0.98638,                0.99438,                0.89961,                 0.5163,                0.24284,                0.90116,             0.00030841,             0.00030841,             0.00030841
                     65,                0.26749,                 0.1811,                0.79674,                 0.9852,                0.97979,                0.99306,                0.89771,                0.51108,                0.25844,                0.90247,             0.00029424,             0.00029424,             0.00029424
                     66,                0.27064,                0.17882,                0.80175,                0.99146,                0.96952,                0.99318,                0.89355,                0.51337,                0.25708,                0.90036,             0.00028027,             0.00028027,             0.00028027
                     67,                0.27429,                0.18331,                0.80255,                0.98977,                0.97814,                 0.9937,                0.89488,                0.51792,                0.25966,                0.90621,             0.00026653,             0.00026653,             0.00026653
                     68,                0.25658,                0.17348,                0.79298,                0.99111,                 0.9833,                0.99443,                0.89722,                0.51395,                0.24474,                0.90324,             0.00025302,             0.00025302,             0.00025302
                     69,                0.26066,                0.17624,                0.79636,                0.98588,                0.97627,                0.99275,                0.89645,                0.51745,                0.26048,                0.90041,             0.00023977,             0.00023977,             0.00023977
                     70,                 0.2603,                0.17536,                0.79829,                0.99025,                0.98191,                 0.9945,                 0.9025,                0.51109,                 0.2471,                0.89607,             0.00022677,             0.00022677,             0.00022677
                     71,                0.25686,                0.17074,                0.79549,                0.98763,                0.98253,                0.99443,                0.90085,                0.51344,                0.24568,                 0.9009,             0.00021405,             0.00021405,             0.00021405
                     72,                0.26066,                0.17316,                0.80066,                0.98375,                0.98393,                0.99418,                0.90074,                0.51606,                0.24744,                0.89967,             0.00020161,             0.00020161,             0.00020161
