                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3548,                   7.41,                 3.1751,                      0,                      0,                      0,                      0,                 3.2636,                  6.719,                 3.2874,               0.067344,             0.00032986,             0.00032986
                      1,                 2.2215,                 1.7727,                 2.2179,                0.57118,                0.14719,                0.20566,                0.08605,                 2.3325,                 4.1522,                 2.5036,               0.034344,             0.00066303,             0.00066303
                      2,                 1.5633,                 1.1795,                 1.6513,                0.57838,                0.47056,                0.43462,                0.18556,                  2.173,                 2.5831,                 2.3814,              0.0013428,             0.00099555,             0.00099555
                      3,                 1.2129,                0.86736,                 1.3608,                0.62656,                0.67311,                0.62135,                0.40804,                 1.2227,                 1.8597,                 1.5065,              0.0009978,              0.0009978,              0.0009978
                      4,                 1.0275,                0.71886,                 1.2069,                0.67481,                0.74692,                0.68091,                0.44772,                  1.245,                 1.4299,                  1.488,              0.0009978,              0.0009978,              0.0009978
                      5,                0.93091,                0.63821,                 1.1424,                0.94213,                0.89416,                0.95117,                0.67935,                  1.036,                0.74226,                 1.3224,              0.0009961,              0.0009961,              0.0009961
                      6,                0.84887,                0.57328,                 1.0908,                0.95607,                 0.8493,                0.92182,                0.67513,                 1.0266,                0.79202,                  1.302,             0.00099391,             0.00099391,             0.00099391
                      7,                0.78548,                0.52877,                  1.044,                0.92958,                0.84673,                0.91619,                0.70804,                0.93459,                0.85141,                 1.2175,             0.00099123,             0.00099123,             0.00099123
                      8,                0.74281,                0.50045,                 1.0225,                0.95974,                0.86687,                0.92715,                0.70603,                0.95098,                 0.7208,                 1.2451,             0.00098808,             0.00098808,             0.00098808
                      9,                 0.6987,                0.47125,                 0.9964,                  0.957,                0.90936,                 0.9577,                0.71702,                0.92917,                0.63841,                 1.2164,             0.00098445,             0.00098445,             0.00098445
                     10,                 0.6851,                0.46264,                0.99108,                0.95143,                0.89236,                0.94245,                0.73063,                0.86346,                0.65819,                 1.1777,             0.00098035,             0.00098035,             0.00098035
                     11,                0.64898,                0.43782,                0.97834,                0.96079,                0.90422,                0.95384,                0.75058,                0.84591,                0.57515,                 1.1493,             0.00097577,             0.00097577,             0.00097577
                     12,                0.61622,                0.42633,                0.95791,                0.96805,                 0.8906,                0.94634,                0.74528,                0.85916,                0.64225,                 1.1809,             0.00097074,             0.00097074,             0.00097074
                     13,                0.61778,                0.41474,                0.94999,                0.96849,                0.90949,                0.94525,                0.74867,                0.81832,                 0.5783,                 1.1431,             0.00096524,             0.00096524,             0.00096524
                     14,                0.58291,                0.40132,                0.94282,                0.96836,                0.91427,                0.95934,                0.77284,                0.79816,                0.54032,                 1.1322,             0.00095929,             0.00095929,             0.00095929
                     15,                0.56927,                0.38669,                0.93834,                0.94285,                0.83128,                0.90336,                 0.7146,                0.85106,                0.75582,                 1.1699,             0.00095289,             0.00095289,             0.00095289
                     16,                0.56857,                0.38385,                 0.9316,                 0.9798,                0.92575,                0.97417,                0.79248,                0.76973,                0.48986,                 1.1094,             0.00094605,             0.00094605,             0.00094605
                     17,                0.55354,                0.36959,                0.92629,                0.96892,                0.90422,                0.95031,                0.76486,                0.78225,                0.56334,                 1.1068,             0.00093877,             0.00093877,             0.00093877
                     18,                0.54595,                0.37491,                0.92085,                0.97295,                 0.9167,                0.96287,                 0.7816,                0.77371,                0.50297,                 1.1151,             0.00093107,             0.00093107,             0.00093107
                     19,                 0.5324,                0.36439,                0.91439,                0.97337,                 0.9196,                0.96528,                0.79067,                0.75934,                0.48284,                 1.0907,             0.00092294,             0.00092294,             0.00092294
                     20,                 0.5198,                0.36512,                0.91145,                0.97631,                0.92838,                0.97304,                0.80173,                0.75746,                0.51043,                 1.0797,              0.0009144,              0.0009144,              0.0009144
                     21,                0.50937,                0.35039,                0.90542,                0.97989,                0.89905,                0.95348,                0.77872,                0.76092,                0.52093,                 1.0947,             0.00090546,             0.00090546,             0.00090546
                     22,                0.51283,                0.34893,                0.90728,                0.97281,                0.92223,                0.96687,                 0.7985,                0.72933,                0.46302,                 1.0716,             0.00089613,             0.00089613,             0.00089613
                     23,                0.49434,                0.33661,                0.89918,                0.98004,                 0.9174,                0.97018,                0.79754,                0.72398,                0.46943,                 1.0692,              0.0008864,              0.0008864,              0.0008864
                     24,                0.47511,                0.33509,                0.89384,                0.97763,                0.94728,                 0.9767,                0.81595,                0.70242,                0.42275,                  1.049,              0.0008763,              0.0008763,              0.0008763
                     25,                0.47768,                0.32933,                 0.8939,                0.97471,                0.93145,                0.96975,                0.80878,                0.71817,                0.46474,                 1.0755,             0.00086584,             0.00086584,             0.00086584
                     26,                0.48041,                0.32611,                0.87658,                0.97598,                0.92707,                0.97243,                0.80874,                0.70121,                0.45476,                 1.0509,             0.00085502,             0.00085502,             0.00085502
                     27,                0.46903,                0.32564,                0.88558,                0.98566,                0.93599,                0.97716,                0.81332,                0.70078,                0.40623,                 1.0495,             0.00084385,             0.00084385,             0.00084385
                     28,                0.46915,                0.32635,                0.88842,                0.98675,                0.93849,                  0.978,                0.81336,                0.68522,                0.42084,                 1.0394,             0.00083235,             0.00083235,             0.00083235
                     29,                0.45629,                0.31634,                0.88662,                0.97336,                0.94112,                0.97943,                0.81037,                0.72361,                0.41938,                 1.0585,             0.00082052,             0.00082052,             0.00082052
                     30,                0.45139,                0.31644,                0.88321,                0.98188,                0.91872,                0.97015,                0.80518,                0.72065,                0.44096,                  1.059,             0.00080839,             0.00080839,             0.00080839
                     31,                0.44703,                0.31279,                0.88178,                0.98084,                 0.9447,                  0.978,                0.82705,                0.67528,                0.42055,                 1.0276,             0.00079595,             0.00079595,             0.00079595
                     32,                0.44143,                 0.2999,                0.86723,                0.98252,                0.93827,                0.98113,                 0.8224,                0.68252,                0.40254,                 1.0385,             0.00078323,             0.00078323,             0.00078323
                     33,                0.44626,                0.30779,                0.87956,                0.97103,                0.91304,                0.95441,                  0.784,                0.74452,                0.49425,                 1.0805,             0.00077023,             0.00077023,             0.00077023
                     34,                0.43361,                0.29395,                0.86681,                0.98303,                0.94169,                0.98253,                0.83538,                0.66907,                0.39435,                 1.0284,             0.00075698,             0.00075698,             0.00075698
                     35,                0.43324,                0.29646,                0.87016,                0.97801,                0.93799,                0.97516,                 0.8207,                 0.6892,                0.42343,                 1.0472,             0.00074347,             0.00074347,             0.00074347
                     36,                 0.4287,                0.29727,                0.86637,                0.99204,                0.93234,                0.97909,                0.84183,                0.65646,                0.39624,                 1.0154,             0.00072973,             0.00072973,             0.00072973
                     37,                0.41486,                0.28548,                 0.8653,                0.98863,                0.94464,                0.97859,                0.82855,                0.67715,                0.39812,                 1.0256,             0.00071576,             0.00071576,             0.00071576
                     38,                0.41346,                0.28725,                0.85732,                0.98002,                0.94844,                0.98273,                0.83577,                0.65833,                 0.3712,                 1.0155,             0.00070159,             0.00070159,             0.00070159
                     39,                0.40498,                0.27911,                0.85664,                0.99351,                0.94147,                0.98107,                0.83446,                0.67079,                0.37431,                 1.0364,             0.00068722,             0.00068722,             0.00068722
                     40,                0.41169,                0.28448,                0.86562,                0.97839,                0.94376,                0.98033,                   0.84,                0.65793,                0.39243,                 1.0224,             0.00067268,             0.00067268,             0.00067268
                     41,                0.40498,                0.28452,                0.85657,                 0.9831,                0.94542,                0.98678,                0.84713,                 0.6585,                0.36374,                 1.0231,             0.00065796,             0.00065796,             0.00065796
                     42,                0.39466,                0.27381,                0.85829,                0.97918,                0.95056,                0.98333,                0.83722,                0.66614,                0.37702,                 1.0228,              0.0006431,              0.0006431,              0.0006431
                     43,                0.40816,                  0.281,                0.86999,                0.98545,                0.95219,                 0.9894,                0.83991,                0.65373,                0.34141,                 1.0167,              0.0006281,              0.0006281,              0.0006281
                     44,                0.39403,                  0.269,                0.85308,                0.98273,                0.94464,                0.97851,                 0.8361,                0.65623,                0.36299,                 1.0216,             0.00061298,             0.00061298,             0.00061298
