                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.331,                 2.9654,                      0,                 4.6079,                 1.3447,                0.85904,                0.69085,                0.78528,                0.55846,                0.86342,                0.69436,                0.78898,                0.41955,                 1.1382,                 1.9148,                      0,                 1.4906,                  1.245,               0.067344,             0.00032986,             0.00032986
                      1,                0.69018,                0.74406,                      0,                0.50345,                0.92967,                0.92786,                0.89543,                 0.9514,                0.73271,                0.92679,                0.89554,                0.94191,                0.71606,                0.88009,                0.95405,                      0,                0.59985,                 1.0925,               0.034344,             0.00066303,             0.00066303
                      2,                0.66355,                0.52529,                      0,                0.48438,                 0.9286,                0.95419,                0.89236,                0.94635,                0.72717,                 0.9105,                0.87607,                0.89685,                0.71557,                0.85098,                0.88023,                      0,                0.88776,                 1.0938,              0.0013428,             0.00099555,             0.00099555
                      3,                0.61332,                0.43282,                      0,                0.46452,                0.90998,                0.94802,                0.87351,                0.94315,                0.75616,                0.86242,                0.81239,                0.80435,                 0.6351,                0.74482,                 1.0999,                      0,                0.65999,                 1.0154,              0.0009978,              0.0009978,              0.0009978
                      4,                0.57692,                0.35522,                      0,                0.43366,                0.90023,                0.96494,                0.91909,                0.96362,                0.77695,                0.94924,                0.90385,                0.94181,                0.80264,                0.73842,                0.64112,                      0,                0.58724,                 1.0232,              0.0009978,              0.0009978,              0.0009978
                      5,                0.54872,                0.36819,                      0,                 0.4013,                0.87995,                0.95265,                0.92575,                0.96902,                0.79424,                0.93536,                 0.9092,                0.93877,                0.84038,                0.72141,                0.55778,                      0,                0.49743,                0.99972,              0.0009961,              0.0009961,              0.0009961
                      6,                0.51234,                 0.3024,                      0,                0.37359,                0.87389,                0.97149,                0.94313,                0.98484,                0.80281,                0.96178,                0.94684,                0.97864,                0.88846,                 0.7203,                0.43756,                      0,                 0.4321,                0.99554,             0.00099391,             0.00099391,             0.00099391
                      7,                0.50586,                0.27259,                      0,                0.36835,                0.87403,                0.95459,                0.94215,                 0.9818,                0.82427,                0.95284,                0.94096,                0.97793,                0.89184,                0.66628,                0.43323,                      0,                0.44377,                0.97578,             0.00099123,             0.00099123,             0.00099123
                      8,                0.49822,                0.26425,                      0,                 0.3647,                0.86758,                0.97401,                0.93146,                0.97645,                0.80972,                0.90074,                0.88908,                0.87687,                0.72875,                0.68602,                0.85995,                      0,                0.45068,                0.99062,             0.00098808,             0.00098808,             0.00098808
                      9,                0.47392,                0.26001,                      0,                0.35092,                0.85918,                0.97221,                0.92216,                0.97365,                0.81446,                0.95864,                0.91432,                0.95561,                0.87721,                0.66399,                0.48762,                      0,                0.46221,                0.97932,             0.00098445,             0.00098445,             0.00098445
                     10,                0.47055,                0.24957,                      0,                 0.3468,                0.85747,                0.96303,                0.93585,                0.97812,                0.81503,                0.95943,                0.93366,                0.97312,                0.88547,                0.66578,                0.40617,                      0,                0.46234,                0.97427,             0.00098035,             0.00098035,             0.00098035
                     11,                 0.4516,                0.25932,                      0,                0.33504,                0.85738,                0.97832,                0.95173,                0.98902,                0.84375,                0.96434,                0.93864,                 0.9658,                0.87672,                0.64083,                0.48604,                      0,                0.38668,                0.96654,             0.00097577,             0.00097577,             0.00097577
                     12,                0.44735,                0.22383,                      0,                0.32889,                0.84669,                 0.9577,                 0.9007,                0.96384,                 0.7991,                0.95766,                0.88972,                0.95539,                 0.8602,                0.70294,                0.45902,                      0,                0.48829,                0.99717,             0.00097074,             0.00097074,             0.00097074
                     13,                 0.4391,                0.25128,                      0,                0.32147,                0.84543,                0.95991,                0.93761,                0.97459,                 0.8346,                0.95114,                0.93228,                0.96704,                0.89048,                 0.6409,                0.41466,                      0,                0.46398,                0.96511,             0.00096524,             0.00096524,             0.00096524
                     14,                0.43011,                0.25909,                      0,                 0.3171,                0.84169,                0.97524,                0.93455,                0.97027,                0.82526,                0.96804,                0.92487,                0.95802,                0.89263,                0.63217,                0.41007,                      0,                0.42403,                0.96533,             0.00095929,             0.00095929,             0.00095929
                     15,                0.43435,                0.24196,                      0,                0.31457,                0.85525,                0.97226,                0.95477,                 0.9883,                0.84146,                0.96555,                0.94859,                  0.977,                0.91369,                0.61904,                 0.3588,                      0,                0.38892,                0.96607,             0.00095289,             0.00095289,             0.00095289
                     16,                 0.4177,                0.22789,                      0,                0.30186,                0.84001,                0.96221,                0.93971,                0.98188,                0.82972,                0.95598,                0.93508,                0.97313,                0.90583,                0.62618,                0.36308,                      0,                0.40154,                0.95443,             0.00094605,             0.00094605,             0.00094605
                     17,                0.41602,                0.20218,                      0,                 0.3021,                0.84204,                0.96741,                0.93918,                0.97261,                0.81245,                0.90436,                0.88074,                0.87237,                0.69475,                0.65008,                0.94706,                      0,                0.42208,                0.97799,             0.00093877,             0.00093877,             0.00093877
                     18,                0.41576,                0.20124,                      0,                0.29961,                0.84689,                0.98011,                0.96046,                0.98614,                0.85187,                0.97439,                0.95475,                0.97769,                0.90878,                0.59147,                0.33554,                      0,                0.35847,                0.94413,             0.00093107,             0.00093107,             0.00093107
                     19,                0.41389,                0.22746,                      0,                0.29937,                0.83597,                0.98354,                0.96002,                0.99177,                0.84658,                0.97792,                0.95475,                0.98009,                 0.9205,                0.60261,                0.30363,                      0,                 0.3518,                0.94409,             0.00092294,             0.00092294,             0.00092294
                     20,                0.39867,                0.18838,                      0,                0.29194,                0.83771,                0.96859,                 0.9349,                0.97294,                0.84129,                0.96268,                0.93014,                0.96236,                0.90898,                0.59676,                 0.3444,                      0,                0.41742,                0.93622,              0.0009144,              0.0009144,              0.0009144
                     21,                0.39277,                0.21053,                      0,                0.28874,                0.83446,                0.97768,                0.97012,                0.99009,                0.85313,                0.96793,                0.96046,                0.97457,                0.90405,                0.60814,                0.36097,                      0,                0.35111,                0.95351,             0.00090546,             0.00090546,             0.00090546
                     22,                0.39721,                 0.2037,                      0,                0.28508,                0.84191,                0.97614,                 0.9609,                0.98354,                0.84508,                0.97603,                0.94947,                0.97444,                0.91387,                0.61354,                0.34159,                      0,                0.37023,                 0.9514,             0.00089613,             0.00089613,             0.00089613
                     23,                0.38476,                0.18804,                      0,                0.27924,                 0.8338,                0.96874,                 0.9319,                0.96502,                0.83424,                0.96326,                0.92663,                0.95466,                0.89798,                0.61517,                0.35734,                      0,                0.42968,                   0.96,              0.0008864,              0.0008864,              0.0008864
                     24,                0.38266,                0.20323,                      0,                0.27692,                0.83567,                 0.9825,                0.96178,                0.98803,                0.86445,                0.97928,                0.95826,                0.98223,                0.92207,                0.58939,                0.31118,                      0,                 0.3416,                0.93853,              0.0008763,              0.0008763,              0.0008763
                     25,                0.37453,                0.18914,                      0,                0.26593,                0.83208,                0.99257,                0.91388,                0.96611,                0.83182,                0.96995,                0.89337,                0.92987,                0.84771,                0.60178,                0.45024,                      0,                0.41879,                0.94636,             0.00086584,             0.00086584,             0.00086584
                     26,                0.37645,                0.20175,                      0,                0.27602,                0.81883,                0.98849,                0.93981,                0.97531,                0.83995,                 0.9774,                0.92926,                0.95895,                0.88883,                0.58493,                0.38655,                      0,                 0.3834,                 0.9468,             0.00085502,             0.00085502,             0.00085502
