                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3164,                 4.0575,                      0,                  7.341,                  3.148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.1935,                 4.3805,                      0,                 6.8688,                 3.1442,               0.067344,             0.00032986,             0.00032986
                      1,                 2.0941,                 2.2662,                      0,                 1.6632,                  2.124,                0.67956,                0.34569,                0.49541,                0.22209,                0.69443,                0.35325,                0.51328,                0.20444,                  2.056,                 2.3492,                      0,                 2.8606,                 2.2038,               0.034344,             0.00066303,             0.00066303
                      2,                   1.46,                 1.5438,                      0,                 1.1127,                  1.554,                0.80835,                0.71529,                0.78806,                0.42127,                 0.7967,                0.71968,                0.79448,                0.44805,                  1.641,                 1.7512,                      0,                 1.3758,                 1.9082,              0.0013428,             0.00099555,             0.00099555
                      3,                 1.1475,                 0.9356,                      0,                0.85291,                 1.2968,                0.84746,                0.80536,                0.85908,                0.54856,                0.84221,                0.80404,                0.85212,                0.59429,                 1.2672,                 1.0606,                      0,                  1.099,                 1.5035,              0.0009978,              0.0009978,              0.0009978
                      4,                0.98173,                0.66582,                      0,                0.71133,                   1.17,                0.84468,                 0.8304,                0.87243,                0.61039,                0.83362,                 0.8304,                0.85674,                0.66149,                 1.0909,                  0.821,                      0,                 1.1759,                 1.3501,              0.0009978,              0.0009978,              0.0009978
                      5,                0.91175,                0.54932,                      0,                0.64383,                 1.1231,                0.93109,                0.85545,                0.92144,                0.66024,                0.92148,                 0.8559,                0.91226,                0.75568,                 1.0782,                0.73439,                      0,                0.83198,                 1.3218,              0.0009961,              0.0009961,              0.0009961
                      6,                0.81561,                0.50523,                      0,                0.57522,                 1.0703,                0.93707,                0.82431,                0.91381,                0.63498,                0.94537,                0.83787,                0.91593,                0.73515,                 1.1139,                0.77276,                      0,                0.82857,                 1.3386,             0.00099391,             0.00099391,             0.00099391
                      7,                0.78421,                0.42798,                      0,                0.53461,                  1.035,                0.94363,                0.82733,                0.90979,                0.65965,                 0.9284,                0.82033,                0.88035,                0.73811,                 1.0332,                0.75796,                      0,                0.92884,                 1.2842,             0.00099123,             0.00099123,             0.00099123
                      8,                0.74434,                0.45298,                      0,                0.52293,                 1.0175,                0.93641,                0.82812,                0.91612,                0.66843,                0.92018,                0.82074,                0.89151,                0.76657,                  1.025,                0.67819,                      0,                0.92416,                 1.2679,             0.00098808,             0.00098808,             0.00098808
                      9,                0.71252,                0.41511,                      0,                0.49228,                 1.0029,                0.95708,                0.87961,                0.94511,                0.72934,                0.94088,                0.86599,                0.92331,                0.80813,                0.89644,                0.58246,                      0,                0.64587,                 1.1729,             0.00098445,             0.00098445,             0.00098445
                     10,                  0.692,                0.34681,                      0,                0.47312,                0.98959,                0.95668,                0.87478,                0.93194,                0.71319,                  0.938,                0.84666,                0.88632,                0.76467,                0.88788,                0.62811,                      0,                0.71573,                 1.1683,             0.00098035,             0.00098035,             0.00098035
