                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95511,                 1.3594,                 3.2841,                 1.0415,                0.94553,                0.27458,                0.37292,                0.28811,                0.92083,                0.26494,                0.35047,                0.20892,                 1.1304,                 5.3516,                 3.7563,                 1.3157,                 0.0673,              0.0003303,              0.0003303
                      1,                0.60823,                0.80586,                 0.5017,                0.87558,                0.94377,                0.91443,                0.96547,                0.79407,                0.52006,                0.50751,                0.44749,                0.20745,                  0.705,                 7.9737,                0.68602,                0.97624,                 0.0343,             0.00066347,             0.00066347
                      2,                0.60879,                 0.8451,                0.48003,                0.88965,                0.92541,                0.85034,                 0.9103,                0.72258,                0.91881,                 0.8304,                0.88637,                0.57727,                0.76769,                 1.7563,                0.95848,                 1.0237,               0.001299,               0.000996,               0.000996
                      3,                0.56469,                0.70615,                0.43648,                0.87047,                0.91273,                0.85984,                0.93082,                0.73395,                0.84634,                0.77944,                0.78919,                0.43136,                0.80805,                 3.3298,                0.64151,                 1.0488,              0.0009978,              0.0009978,              0.0009978
                      4,                0.54934,                0.70721,                0.40768,                0.88514,                0.95458,                0.88005,                0.94802,                0.77208,                0.94505,                0.86336,                  0.928,                 0.6509,                0.72795,                 1.7969,                0.60706,                 1.0009,              0.0009978,              0.0009978,              0.0009978
                      5,                0.50013,                0.65356,                0.37202,                0.84798,                0.95923,                0.94903,                0.98637,                0.81591,                0.95542,                0.93213,                 0.9709,                0.69608,                0.66809,                 1.5473,                0.46392,                0.96954,              0.0009961,              0.0009961,              0.0009961
                      6,                0.48014,                0.66356,                0.35014,                0.84933,                0.96198,                0.91147,                0.95594,                0.79698,                0.95919,                0.90884,                0.95242,                0.71003,                 0.6649,                 1.4111,                0.50099,                0.96977,             0.00099391,             0.00099391,             0.00099391
                      7,                0.45841,                0.59177,                0.33702,                0.83566,                0.98312,                0.91872,                0.97534,                0.81709,                0.97205,                0.91671,                0.96619,                0.71685,                0.66619,                 1.3428,                0.44524,                0.98069,             0.00099123,             0.00099123,             0.00099123
                      8,                0.44577,                0.61552,                0.32233,                0.83919,                 0.9644,                0.94039,                0.97776,                0.82254,                 0.9554,                0.93168,                0.96538,                0.71952,                0.65304,                 1.5223,                0.42424,                0.95814,             0.00098808,             0.00098808,             0.00098808
                      9,                0.43158,                0.59944,                0.31698,                 0.8327,                0.97247,                0.91579,                0.97192,                0.81794,                0.96559,                0.91244,                0.96153,                 0.7124,                0.66161,                  1.304,                0.46407,                0.97333,             0.00098445,             0.00098445,             0.00098445
                     10,                0.43207,                0.54558,                0.30852,                0.83179,                 0.9679,                0.94052,                0.97891,                0.83315,                 0.9655,                0.93541,                0.97088,                0.72089,                 0.6418,                 1.3261,                0.42389,                0.96198,             0.00098035,             0.00098035,             0.00098035
                     11,                0.41669,                0.61046,                0.30001,                0.82463,                0.97045,                0.88313,                0.93498,                0.78753,                0.96319,                0.87385,                0.92279,                0.67478,                0.68087,                 1.6259,                0.64502,                0.98309,             0.00097577,             0.00097577,             0.00097577
                     12,                0.40835,                0.53731,                0.29371,                0.82147,                 0.9768,                0.90649,                0.97306,                0.83981,                0.96896,                0.90026,                0.96552,                 0.7352,                0.62793,                 1.4552,                0.47482,                0.95208,             0.00097074,             0.00097074,             0.00097074
                     13,                0.40563,                0.57391,                 0.3007,                0.82944,                0.97071,                0.93191,                0.96964,                0.81522,                0.96614,                0.92758,                0.96299,                0.69471,                0.64004,                 1.6045,                0.43264,                0.94927,             0.00096524,             0.00096524,             0.00096524
                     14,                0.40201,                 0.5422,                0.28721,                 0.8259,                0.96846,                0.92838,                0.97935,                 0.8563,                0.96688,                0.92351,                0.97144,                0.74289,                0.61001,                 1.5226,                0.46562,                0.93952,             0.00095929,             0.00095929,             0.00095929
