                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.285,                  3.863,                 7.0187,                 3.0846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3588,                 4.9742,                 6.7298,                 3.0892,                 0.0673,              0.0003303,              0.0003303
                      1,                 1.9203,                 1.6688,                 1.5695,                 1.9345,                0.29012,                0.28163,                0.19772,                0.09096,                0.28825,                0.28295,                0.19631,                0.09581,                 1.8127,                 2.3504,                 3.0581,                 2.0068,                 0.0343,             0.00066347,             0.00066347
                      2,                 1.3082,                 1.3532,                 1.0298,                 1.3978,                0.56613,                0.66916,                0.59506,                0.32261,                0.56269,                0.64675,                0.58088,                0.31996,                 1.4536,                 2.2802,                 2.2271,                   1.69,               0.001299,               0.000996,               0.000996
                      3,                 1.0546,                 1.0487,                0.79584,                 1.1758,                0.93004,                0.81591,                0.90161,                0.59007,                0.91485,                0.79776,                0.86067,                0.53091,                  1.234,                  1.818,                0.95523,                 1.3992,              0.0009978,              0.0009978,              0.0009978
                      4,                0.92034,                 0.9696,                0.67274,                 1.1001,                0.94825,                0.86292,                0.92564,                0.64745,                0.93831,                0.85149,                0.90774,                0.60668,                 1.1592,                 1.5879,                0.86836,                  1.324,              0.0009978,              0.0009978,              0.0009978
                      5,                0.82394,                0.88182,                0.58358,                 1.0267,                0.94545,                0.90817,                0.95623,                0.69296,                0.92638,                0.89006,                0.92075,                0.61445,                 1.0067,                 1.5017,                0.68345,                 1.2272,              0.0009961,              0.0009961,              0.0009961
                      6,                0.75511,                  0.865,                0.53403,                0.99783,                0.95216,                 0.8594,                0.93045,                0.71189,                 0.9471,                0.84956,                0.91054,                0.62608,                0.93082,                 1.5754,                0.74357,                 1.1843,             0.00099391,             0.00099391,             0.00099391
                      7,                0.70906,                0.78657,                0.51377,                0.96074,                0.93656,                0.78954,                0.88548,                0.66256,                0.92849,                 0.7816,                0.86619,                0.57627,                0.99733,                 1.8653,                0.95363,                 1.2041,             0.00099123,             0.00099123,             0.00099123
                      8,                0.67588,                0.80241,                0.47207,                0.95142,                0.96698,                0.88664,                0.94752,                0.74483,                0.95417,                0.87823,                 0.9296,                0.65304,                0.86349,                 1.4911,                0.65687,                 1.1206,             0.00098808,             0.00098808,             0.00098808
                      9,                 0.6507,                0.75829,                0.45236,                0.93517,                0.95732,                 0.8672,                0.92542,                0.71731,                0.94616,                0.85709,                0.90508,                0.62115,                0.89871,                 1.7259,                0.64225,                 1.1663,             0.00098445,             0.00098445,             0.00098445
                     10,                0.61584,                0.71063,                0.43244,                0.92733,                0.96406,                 0.8956,                 0.9404,                0.75536,                0.95782,                0.89016,                0.93131,                0.66495,                 0.8092,                 1.4848,                0.64964,                 1.0866,             0.00098035,             0.00098035,             0.00098035
                     11,                0.59101,                0.75561,                0.42091,                0.91158,                0.94261,                0.81503,                0.88856,                0.69694,                0.94271,                0.79086,                0.86397,                0.57319,                0.90749,                 2.1186,                0.92722,                 1.1333,             0.00097577,             0.00097577,             0.00097577
                     12,                0.57258,                0.68546,                0.39736,                0.89778,                0.96758,                0.93058,                 0.9732,                0.75998,                 0.9589,                0.92223,                 0.9563,                0.64479,                0.81459,                 1.6684,                0.51658,                 1.0995,             0.00097074,             0.00097074,             0.00097074
                     13,                0.56112,                 0.7071,                0.39158,                 0.9025,                0.97364,                0.90889,                0.95844,                0.77266,                0.96604,                0.89984,                0.94196,                0.67384,                0.78732,                 1.6086,                0.54108,                 1.0799,             0.00096524,             0.00096524,             0.00096524
                     14,                0.55018,                0.69383,                0.39054,                0.89539,                0.96486,                0.91698,                0.95904,                0.77506,                0.97554,                 0.8884,                0.94411,                0.67844,                0.78481,                 1.5903,                0.54208,                 1.0622,             0.00095929,             0.00095929,             0.00095929
                     15,                0.51635,                 0.7298,                0.37115,                0.87802,                0.97998,                0.92458,                0.97191,                0.78333,                0.97024,                0.91696,                0.95517,                0.66766,                0.76042,                 1.5768,                0.50392,                 1.0473,             0.00095289,             0.00095289,             0.00095289
                     16,                0.50971,                0.63406,                0.36528,                0.88436,                0.96364,                0.86028,                0.93051,                0.74503,                0.95815,                0.85062,                 0.9158,                0.65325,                0.83746,                 1.6049,                0.69607,                 1.1074,             0.00094605,             0.00094605,             0.00094605
                     17,                0.51422,                0.62942,                0.36145,                0.88263,                0.97493,                0.92272,                0.96565,                0.76789,                0.96739,                0.91224,                0.94797,                0.65551,                0.77837,                 1.6173,                0.49864,                 1.0554,             0.00093877,             0.00093877,             0.00093877
                     18,                0.50158,                0.63235,                0.35167,                0.87004,                 0.9764,                0.92696,                0.96536,                0.79697,                0.96631,                0.91784,                0.95473,                 0.6969,                 0.7295,                 1.5236,                 0.5107,                 1.0259,             0.00093107,             0.00093107,             0.00093107
                     19,                0.48425,                0.63755,                0.33807,                0.86598,                0.97924,                 0.9029,                0.95894,                0.78871,                0.96899,                0.89323,                0.94427,                0.67018,                0.74587,                 1.7022,                0.51079,                 1.0331,             0.00092294,             0.00092294,             0.00092294
                     20,                0.46359,                0.60274,                0.32968,                 0.8613,                 0.9822,                0.92137,                0.96496,                0.80588,                0.97002,                0.91784,                0.95332,                0.69621,                0.69955,                 1.5139,                0.46945,                 1.0151,              0.0009144,              0.0009144,              0.0009144
                     21,                0.46178,                0.61453,                0.33095,                0.86193,                0.96749,                0.92311,                0.96193,                0.79695,                  0.964,                0.91764,                0.95387,                0.68827,                0.70128,                 1.6032,                0.51353,                 1.0202,             0.00090546,             0.00090546,             0.00090546
                     22,                0.46288,                0.59106,                0.32826,                0.86289,                0.97852,                0.91828,                 0.9675,                0.79735,                0.96627,                0.90629,                0.95152,                0.69144,                 0.7398,                 1.6454,                0.51048,                  1.026,             0.00089613,             0.00089613,             0.00089613
