                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3769,                 8.0184,                 3.1692,                      0,                      0,                      0,                      0,                 3.2673,                 6.8392,                  3.051,               0.067344,             0.00032986,             0.00032986
                      2,                 2.2015,                 1.7358,                  2.183,                0.52441,                0.24777,                0.31758,                0.13683,                 2.2282,                 3.6081,                 2.2763,               0.034344,             0.00066315,             0.00066315
                      3,                 1.5466,                 1.1648,                 1.6071,                0.79725,                0.59582,                0.69164,                0.36738,                 1.7352,                 1.8716,                 1.8066,              0.0013435,             0.00099628,             0.00099628
                      4,                 1.2238,                  0.893,                 1.3367,                0.81435,                0.54362,                0.64146,                0.37908,                 1.6162,                 2.1046,                  1.644,             0.00099945,             0.00099945,             0.00099945
                      5,                 1.0175,                0.71698,                 1.1817,                0.87616,                0.69128,                0.76302,                0.50453,                 1.3644,                 1.4603,                 1.4998,             0.00099945,             0.00099945,             0.00099945
                      6,                0.91975,                0.63154,                 1.1192,                0.86181,                0.67064,                0.75137,                0.52557,                 1.2404,                 1.4008,                 1.3996,             0.00099902,             0.00099902,             0.00099902
                      7,                0.84176,                 0.5675,                 1.0723,                0.88548,                0.70726,                0.78269,                0.54002,                 1.2282,                 1.2746,                 1.3737,             0.00099847,             0.00099847,             0.00099847
                      8,                0.76358,                0.52239,                 1.0328,                0.85654,                0.64082,                0.72013,                0.48722,                 1.3244,                 1.5302,                 1.4309,              0.0009978,              0.0009978,              0.0009978
                      9,                0.73631,                0.48822,                 1.0094,                0.94222,                0.80885,                0.88171,                0.62635,                 1.1087,                0.85673,                 1.2956,             0.00099701,             0.00099701,             0.00099701
                     10,                0.69435,                 0.4672,                0.99394,                0.93802,                0.78921,                0.86978,                0.64263,                 1.0408,                0.84853,                 1.2399,              0.0009961,              0.0009961,              0.0009961
                     11,                0.67846,                0.45356,                0.97571,                0.95131,                0.74397,                0.83657,                0.63107,                 1.0179,                0.95852,                 1.2413,             0.00099506,             0.00099506,             0.00099506
                     12,                0.65484,                0.43455,                0.97259,                0.92624,                0.69998,                0.79436,                 0.6048,                  1.005,                 1.0794,                 1.2184,             0.00099391,             0.00099391,             0.00099391
                     13,                 0.6295,                0.42679,                0.96287,                0.91519,                 0.7569,                0.85222,                0.64043,                 1.0512,                 1.0568,                 1.2582,             0.00099263,             0.00099263,             0.00099263
                     14,                0.60668,                0.40378,                0.94239,                0.94291,                0.76362,                0.86533,                0.65576,                 1.0733,                 1.1132,                 1.2605,             0.00099123,             0.00099123,             0.00099123
                     15,                0.58852,                0.39151,                0.94071,                0.94853,                 0.7999,                0.86875,                0.67042,                0.94737,                0.81615,                 1.1876,             0.00098972,             0.00098972,             0.00098972
                     16,                0.58264,                0.38347,                0.93738,                0.93802,                0.78246,                0.85055,                0.64194,                 1.0238,                0.84896,                 1.2573,             0.00098808,             0.00098808,             0.00098808
                     17,                0.56519,                0.37643,                0.91049,                0.91438,                0.74862,                0.81716,                0.62276,                 1.0126,                 0.9914,                 1.2125,             0.00098632,             0.00098632,             0.00098632
                     18,                 0.5344,                0.35794,                0.90144,                0.89539,                0.71017,                0.79735,                 0.6334,                0.92803,                 1.0794,                 1.1599,             0.00098445,             0.00098445,             0.00098445
                     19,                0.54722,                0.36448,                0.91724,                0.91957,                0.70192,                0.79783,                0.62266,                0.99091,                 1.0968,                 1.2073,             0.00098246,             0.00098246,             0.00098246
                     20,                0.53944,                0.36374,                0.91181,                0.95969,                0.77526,                0.86541,                0.68388,                0.93361,                0.83304,                 1.1573,             0.00098035,             0.00098035,             0.00098035
                     21,                0.51211,                0.34775,                0.90133,                0.90595,                0.74174,                 0.8484,                0.66053,                 1.0402,                 1.1482,                 1.2312,             0.00097812,             0.00097812,             0.00097812
                     22,                  0.525,                0.35238,                0.89586,                0.95861,                0.82177,                0.89171,                0.69194,                0.92447,                0.68152,                 1.1716,             0.00097577,             0.00097577,             0.00097577
                     23,                0.50876,                0.34075,                0.89299,                0.92651,                0.77156,                0.86254,                0.67775,                0.95288,                0.85718,                 1.1762,             0.00097331,             0.00097331,             0.00097331
                     24,                0.48778,                0.33121,                 0.8929,                0.93412,                0.78076,                0.85158,                0.66717,                0.92169,                0.85048,                 1.1723,             0.00097074,             0.00097074,             0.00097074
                     25,                0.49082,                0.33304,                0.88891,                0.95026,                0.77803,                0.86142,                0.67873,                0.89292,                0.83077,                 1.1459,             0.00096804,             0.00096804,             0.00096804
                     26,                0.46875,                0.32043,                0.88095,                 0.9287,                 0.7651,                0.86133,                0.67787,                0.89514,                0.86164,                 1.1471,             0.00096524,             0.00096524,             0.00096524
                     27,                0.47493,                0.32066,                0.88598,                0.92061,                0.77156,                0.86205,                0.67746,                0.94518,                0.88949,                 1.1678,             0.00096232,             0.00096232,             0.00096232
                     28,                0.45819,                 0.3109,                0.87386,                0.97146,                0.78076,                0.83449,                0.67091,                0.84039,                0.81848,                 1.1246,             0.00095929,             0.00095929,             0.00095929
                     29,                0.46925,                0.31425,                0.88742,                0.92357,                0.73925,                0.82748,                0.65887,                 0.8881,                0.92199,                 1.1416,             0.00095614,             0.00095614,             0.00095614
                     30,                0.46193,                0.30842,                0.88006,                0.94617,                0.82625,                0.90637,                0.72438,                0.88003,                0.69969,                 1.1427,             0.00095289,             0.00095289,             0.00095289
                     31,                0.45928,                0.31305,                0.87586,                0.96102,                 0.7966,                0.88636,                0.70842,                0.88219,                0.72851,                 1.1273,             0.00094952,             0.00094952,             0.00094952
                     32,                0.46055,                0.30859,                  0.875,                0.95125,                0.80636,                0.89688,                 0.7209,                0.87142,                0.73179,                 1.1345,             0.00094605,             0.00094605,             0.00094605
                     33,                0.44997,                0.30387,                0.87186,                0.95777,                0.82277,                0.90544,                0.73022,                0.84208,                0.70176,                 1.1095,             0.00094246,             0.00094246,             0.00094246
                     34,                0.43386,                0.29454,                 0.8627,                0.95403,                0.79963,                0.87932,                 0.7062,                0.84517,                0.74089,                 1.1105,             0.00093877,             0.00093877,             0.00093877
                     35,                0.45158,                0.30342,                0.87475,                0.96634,                 0.7917,                0.88753,                0.72202,                0.82376,                  0.718,                 1.0859,             0.00093497,             0.00093497,             0.00093497
                     36,                0.43058,                0.29589,                0.86718,                 0.9277,                0.74319,                 0.8474,                0.68244,                0.92099,                0.95834,                 1.1533,             0.00093107,             0.00093107,             0.00093107
                     37,                0.43522,                0.29158,                0.86967,                0.94235,                 0.8005,                0.88332,                0.70577,                0.88737,                0.75861,                 1.1381,             0.00092706,             0.00092706,             0.00092706
                     38,                0.43033,                0.29278,                0.86191,                0.95643,                0.81851,                0.89654,                 0.7258,                 0.8344,                0.69042,                 1.1071,             0.00092294,             0.00092294,             0.00092294
                     39,                0.42044,                0.28545,                0.85934,                0.94111,                 0.7646,                0.85148,                  0.683,                0.87194,                0.80629,                 1.1197,             0.00091872,             0.00091872,             0.00091872
                     40,                 0.4275,                0.28774,                0.86088,                0.96769,                0.82426,                0.91058,                0.74248,                0.81932,                0.68297,                 1.0977,              0.0009144,              0.0009144,              0.0009144
                     41,                0.41729,                0.28521,                0.85515,                0.95537,                0.82451,                0.90393,                0.73534,                0.81671,                0.66377,                 1.0944,             0.00090998,             0.00090998,             0.00090998
                     42,                0.41211,                0.27751,                0.85687,                0.95542,                0.79244,                0.88704,                0.71261,                0.87297,                 0.7174,                 1.1321,             0.00090546,             0.00090546,             0.00090546
                     43,                0.41118,                0.27975,                0.85157,                0.95236,                0.82028,                0.90002,                 0.7303,                 0.8158,                0.67944,                 1.0946,             0.00090084,             0.00090084,             0.00090084
                     44,                0.42042,                 0.2869,                 0.8595,                0.94951,                0.78995,                0.88541,                0.72686,                0.81194,                0.77681,                 1.0786,             0.00089613,             0.00089613,             0.00089613
                     45,                0.41417,                0.28003,                0.86763,                0.95239,                0.82039,                0.89299,                0.72866,                 0.7929,                 0.6563,                 1.0839,             0.00089131,             0.00089131,             0.00089131
                     46,                0.40584,                0.27408,                 0.8551,                 0.9647,                0.84234,                0.91349,                0.74092,                0.82938,                0.63566,                 1.1103,              0.0008864,              0.0008864,              0.0008864
                     47,                0.40383,                0.26786,                0.85267,                  0.962,                0.82433,                0.90247,                0.73447,                0.81402,                0.61827,                 1.0985,              0.0008814,              0.0008814,              0.0008814
                     48,                0.39811,                0.27036,                0.85466,                0.94461,                0.80313,                0.88355,                0.70904,                0.83408,                0.71211,                 1.1021,              0.0008763,              0.0008763,              0.0008763
                     49,                0.39793,                 0.2705,                0.85083,                0.95632,                0.78847,                0.87613,                0.70986,                 0.8252,                0.71674,                  1.095,             0.00087112,             0.00087112,             0.00087112
                     50,                0.38764,                0.26298,                0.85216,                0.95717,                 0.8165,                0.90116,                0.73208,                0.81575,                0.69324,                 1.0839,             0.00086584,             0.00086584,             0.00086584
                     51,                0.39726,                0.26757,                0.84914,                0.97254,                0.76603,                0.85655,                0.70209,                0.78958,                0.77675,                 1.0737,             0.00086047,             0.00086047,             0.00086047
                     52,                0.38274,                0.25962,                0.84074,                0.96502,                0.80363,                0.87201,                0.70525,                0.80329,                0.67185,                 1.0917,             0.00085502,             0.00085502,             0.00085502
                     53,                0.38985,                0.26266,                0.85081,                0.95286,                0.80164,                0.88948,                 0.7412,                0.77173,                0.69564,                  1.067,             0.00084948,             0.00084948,             0.00084948
                     54,                0.38236,                0.25507,                 0.8441,                0.95972,                0.84812,                0.91307,                0.74753,                0.80753,                0.60777,                 1.0884,             0.00084385,             0.00084385,             0.00084385
