                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3925,                 1.5365,                0.30075,                 7.6778,                 3.1472,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.317,                 2.0138,                 0.1254,                 6.2218,                 3.0797,               0.067344,             0.00032986,             0.00032986
                      2,                 2.1795,                0.94038,                 0.2226,                 1.6978,                 2.1502,                0.52409,                0.16903,                0.21904,                0.09283,                 0.5395,                  0.174,                0.24125,                0.12545,                  2.195,                 1.5191,                0.08296,                 3.7554,                 2.2312,               0.034344,             0.00066315,             0.00066315
                      3,                 1.5126,                0.75642,                0.19348,                 1.1298,                 1.5847,                0.69409,                0.49632,                0.54841,                  0.295,                  0.694,                0.52821,                0.57663,                0.33931,                 1.7956,                 1.4064,                0.08265,                 2.0953,                 1.8587,              0.0013435,             0.00099628,             0.00099628
                      4,                 1.1728,                0.57213,                0.14709,                0.87589,                 1.3266,                0.49349,                0.47701,                0.42212,                0.25946,                0.44874,                0.45414,                  0.349,                0.23552,                 1.4993,                 1.3394,                0.07821,                 3.0388,                 1.6298,             0.00099945,             0.00099945,             0.00099945
                      5,                 1.0049,                0.35058,                0.09047,                0.72132,                 1.1833,                0.80592,                0.56649,                0.64502,                0.40447,                0.78523,                0.55357,                0.61757,                0.50197,                 1.4873,                 0.8421,                 0.0161,                 1.9027,                 1.5859,             0.00099945,             0.00099945,             0.00099945
                      6,                0.89734,                0.29994,                0.08815,                0.62658,                 1.1209,                0.90094,                0.73254,                0.81023,                0.52132,                0.87989,                0.72293,                0.78903,                0.64204,                 1.3835,                0.80976,                 0.0405,                   1.16,                  1.548,             0.00099902,             0.00099902,             0.00099902
                      7,                0.80265,                0.26495,                0.08245,                0.55471,                 1.0653,                0.90717,                0.66145,                 0.7478,                0.52779,                0.86581,                0.63512,                0.69615,                0.59434,                 1.2358,                0.81722,                0.01814,                 1.3902,                 1.4019,             0.00099847,             0.00099847,             0.00099847
                      8,                0.76051,                0.22517,                0.07212,                0.52294,                 1.0353,                0.93236,                0.73322,                0.81022,                0.57708,                0.89293,                0.70669,                0.74892,                0.61109,                 1.1619,                0.83359,                0.03798,                 1.1622,                 1.3374,              0.0009978,              0.0009978,              0.0009978
                      9,                 0.7109,                0.20405,                0.06706,                0.48532,                 1.0055,                0.93422,                0.77313,                0.84918,                0.60353,                0.91459,                0.77007,                0.83137,                0.71521,                 1.1174,                0.63774,                0.01997,                0.96034,                 1.3055,             0.00099701,             0.00099701,             0.00099701
                     10,                0.67507,                 0.1873,                 0.0654,                0.46532,                0.98901,                0.94185,                0.78797,                0.86805,                0.62663,                0.91131,                0.76624,                0.81707,                0.68892,                 1.1066,                0.74001,                0.02274,                0.92542,                 1.3064,              0.0009961,              0.0009961,              0.0009961
                     11,                0.66123,                0.17027,                0.06423,                0.44926,                0.97655,                0.93133,                0.67421,                0.77101,                0.55477,                0.89041,                0.65233,                 0.7228,                 0.6023,                 1.1019,                0.83293,                0.02223,                 1.2658,                 1.3117,             0.00099506,             0.00099506,             0.00099506
                     12,                0.64333,                0.17067,                0.06647,                0.44111,                0.97439,                0.94353,                0.70967,                0.78979,                0.59188,                0.92542,                0.69674,                 0.7647,                 0.6743,                 1.0674,                0.65333,                0.01184,                 1.1249,                 1.2723,             0.00099391,             0.00099391,             0.00099391
                     13,                0.61157,                0.17372,                0.06269,                 0.4297,                0.96615,                0.95125,                0.78996,                0.87484,                0.65426,                0.91602,                0.75814,                0.81386,                0.71359,                 1.0276,                0.75024,                0.01572,                0.84082,                 1.2557,             0.00099263,             0.00099263,             0.00099263
                     14,                0.58389,                0.15335,                0.06063,                0.40005,                0.93982,                0.92532,                0.74845,                0.82242,                0.59665,                0.91305,                0.73868,                0.79932,                0.70191,                 1.0877,                0.66014,                0.02354,                 1.0606,                 1.2935,             0.00099123,             0.00099123,             0.00099123
                     15,                0.57309,                0.15232,                0.06037,                0.39612,                 0.9409,                0.92944,                 0.7531,                0.84354,                0.63974,                0.90962,                0.73975,                0.81568,                0.72189,                 1.0553,                0.68552,                0.02609,                 1.1204,                  1.257,             0.00098972,             0.00098972,             0.00098972
                     16,                0.57521,                0.13254,                0.05301,                0.39283,                0.94253,                0.92734,                 0.7709,                0.84289,                 0.6514,                0.90764,                0.75726,                0.81545,                0.73716,                0.95295,                0.57943,                0.01551,                0.92071,                  1.195,             0.00098808,             0.00098808,             0.00098808
                     17,                0.55046,                0.17353,                0.05883,                0.37509,                0.91203,                0.92949,                0.73925,                0.81926,                0.62964,                0.89584,                0.70793,                0.76465,                0.69152,                 1.0071,                 0.7407,                0.02328,                 1.1153,                  1.232,             0.00098632,             0.00098632,             0.00098632
                     18,                0.53768,                0.13367,                0.04237,                0.36815,                0.91083,                0.94388,                0.76093,                 0.8533,                0.66917,                0.91581,                0.74522,                0.82048,                0.74352,                0.93182,                0.67787,                0.02493,                0.93678,                 1.1744,             0.00098445,             0.00098445,             0.00098445
                     19,                0.52975,                0.12973,                0.05826,                0.36648,                0.92219,                0.95183,                0.79617,                 0.8735,                0.67236,                0.92312,                0.78175,                0.83399,                0.75597,                0.92039,                0.55735,                0.01423,                0.78784,                 1.1748,             0.00098246,             0.00098246,             0.00098246
                     20,                0.52112,                0.12197,                0.04963,                0.36035,                0.91361,                0.91781,                0.74348,                 0.8227,                0.64296,                0.90633,                0.72434,                0.79381,                0.71714,                0.94498,                0.64241,                0.02204,                0.92536,                 1.1976,             0.00098035,             0.00098035,             0.00098035
                     21,                0.51192,                0.13874,                0.05087,                0.35942,                0.90603,                0.94036,                0.76485,                0.83666,                0.65272,                0.92049,                 0.7487,                0.80958,                 0.7347,                0.95166,                0.60566,                0.02261,                0.95927,                 1.1923,             0.00097812,             0.00097812,             0.00097812
                     22,                0.49827,                0.13084,                0.04442,                0.35292,                0.89179,                0.94308,                0.75391,                0.83317,                0.64451,                0.92262,                0.74522,                 0.8089,                0.72486,                0.97115,                0.63204,                0.01721,                 1.0032,                 1.1971,             0.00097577,             0.00097577,             0.00097577
                     23,                0.50474,                0.14395,                0.04787,                0.34609,                0.89857,                0.94304,                0.79833,                0.87102,                0.68839,                0.92415,                0.78441,                0.84396,                0.76945,                0.86878,                0.57173,                0.01583,                0.72364,                 1.1538,             0.00097331,             0.00097331,             0.00097331
                     24,                0.48489,                0.10784,                0.04259,                0.33864,                0.89542,                0.95712,                0.80587,                0.88562,                0.69568,                0.93701,                0.78921,                0.85694,                0.77757,                0.90069,                0.56855,                0.01457,                0.74203,                 1.1659,             0.00097074,             0.00097074,             0.00097074
                     25,                0.47897,                0.10342,                0.03246,                0.33311,                  0.892,                0.92768,                0.78871,                 0.8672,                0.67986,                0.90656,                0.77281,                0.83348,                0.75941,                0.89764,                0.55274,                0.01037,                0.74467,                 1.1696,             0.00096804,             0.00096804,             0.00096804
                     26,                0.46082,                0.12688,                0.03434,                0.32091,                0.88333,                0.95691,                0.82053,                0.90046,                0.70178,                0.93807,                0.80437,                0.87314,                0.77763,                 0.8983,                0.58098,                0.02614,                0.66728,                 1.1655,             0.00096524,             0.00096524,             0.00096524
                     27,                0.47707,                0.10297,                0.03164,                0.33455,                0.88996,                0.95499,                0.81009,                0.88094,                0.69358,                0.92667,                0.78673,                0.83505,                0.76091,                  0.892,                0.57498,                0.01669,                 0.7303,                  1.173,             0.00096232,             0.00096232,             0.00096232
                     28,                0.45662,                0.10619,                0.02719,                0.31127,                0.87514,                0.95274,                0.80065,                0.87449,                0.69646,                0.93399,                0.78573,                0.84623,                0.77973,                0.88074,                0.55284,                0.01138,                0.81724,                 1.1382,             0.00095929,             0.00095929,             0.00095929
                     29,                0.46713,                0.11822,                0.03429,                0.32445,                0.88992,                0.96549,                0.82072,                0.89364,                 0.7106,                0.93953,                0.80462,                0.85871,                0.78617,                0.86207,                0.54857,                0.01634,                0.69683,                 1.1236,             0.00095614,             0.00095614,             0.00095614
                     30,                0.45259,                0.09809,                0.02785,                0.31889,                0.88043,                0.96702,                0.83246,                0.89995,                0.72211,                0.94323,                0.81481,                  0.865,                0.79545,                0.83636,                0.48727,                0.01632,                0.66335,                  1.109,             0.00095289,             0.00095289,             0.00095289
                     31,                0.44789,                0.10371,                0.03032,                0.31439,                0.87352,                 0.9535,                0.82302,                0.89625,                0.71108,                0.93766,                0.80935,                0.87242,                0.79709,                0.87612,                0.52442,                0.01554,                0.68011,                 1.1576,             0.00094952,             0.00094952,             0.00094952
                     32,                0.44773,                0.11056,                0.03377,                0.30875,                0.87502,                0.95918,                0.81655,                0.87437,                0.70189,                0.94388,                0.80437,                0.84981,                0.78135,                0.85728,                0.52349,                0.01092,                0.71585,                 1.1338,             0.00094605,             0.00094605,             0.00094605
                     33,                0.43792,                 0.0937,                0.03578,                0.30453,                0.87122,                0.96023,                0.80412,                0.87872,                0.70964,                0.94165,                0.78896,                0.85112,                0.79208,                0.82074,                0.50855,                0.01631,                0.72584,                 1.1071,             0.00094246,             0.00094246,             0.00094246
                     34,                0.41756,                0.09639,                0.02538,                0.29385,                0.86051,                0.95597,                0.79418,                0.88493,                0.71406,                0.92222,                0.76858,                0.83242,                0.76122,                0.84559,                  0.563,                0.00618,                0.71501,                 1.1284,             0.00093877,             0.00093877,             0.00093877
                     35,                0.44299,                0.09083,                0.03351,                0.30604,                 0.8739,                0.95389,                0.83297,                0.90375,                0.73139,                0.93654,                  0.818,                0.87683,                0.81169,                0.81981,                 0.4792,                0.00628,                0.65089,                 1.1184,             0.00093497,             0.00093497,             0.00093497
                     36,                0.42532,                0.08959,                0.02819,                0.30388,                 0.8706,                0.94561,                0.80089,                0.88967,                0.70495,                0.93025,                0.78971,                0.86697,                0.80066,                0.91227,                0.50234,                0.01958,                0.81743,                 1.1677,             0.00093107,             0.00093107,             0.00093107
                     37,                0.42508,                0.12162,                0.03312,                0.29759,                0.87099,                0.95805,                0.84067,                 0.9029,                0.71933,                0.92081,                0.81219,                0.84396,                0.76903,                0.83971,                0.57771,                0.01028,                0.60384,                 1.1132,             0.00092706,             0.00092706,             0.00092706
                     38,                0.42194,                 0.1058,                0.03157,                0.29305,                0.86294,                0.96025,                0.83466,                0.89958,                0.71966,                0.93508,                0.81279,                 0.8581,                0.78436,                 0.8382,                0.55462,                0.00868,                0.64686,                 1.1167,             0.00092294,             0.00092294,             0.00092294
                     39,                0.41333,                0.07835,                0.03029,                0.28817,                0.85784,                0.96498,                  0.815,                0.89247,                0.72625,                0.94268,                0.79301,                0.85441,                0.79236,                0.80388,                0.49382,                0.00569,                0.69387,                 1.1049,             0.00091872,             0.00091872,             0.00091872
