                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2324,                 3.8923,                 6.9139,                 2.9691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4558,                 27.971,                 6.5496,                 4.0951,               0.067258,             0.00033073,             0.00033073
                      2,                 1.8288,                 1.6598,                 1.4795,                 1.8092,                0.33831,                0.29828,                0.23779,                0.08862,                0.34737,                0.29555,                 0.2354,                0.09515,                  2.181,                 3.1396,                 2.8022,                 2.0505,               0.034258,             0.00066402,             0.00066402
                      3,                 1.2719,                 1.2602,                0.97674,                 1.3396,                  0.572,                0.57842,                0.51645,                0.30315,                0.56318,                0.56078,                0.49434,                0.26575,                 1.5729,                 3.1833,                 1.9229,                  1.539,              0.0012576,             0.00099715,             0.00099715
                      4,                 1.0032,                 1.0839,                0.71997,                  1.115,                0.89145,                0.66137,                0.76378,                 0.5041,                0.87996,                0.64902,                0.73344,                0.43031,                 1.3548,                  2.634,                 1.4576,                 1.3941,             0.00099945,             0.00099945,             0.00099945
                      5,                0.85817,                0.94267,                0.60453,                 1.0343,                0.91993,                0.75864,                0.83133,                  0.601,                0.90674,                0.74683,                0.81024,                0.52879,                 1.1396,                 2.0574,                 1.0432,                 1.2414,             0.00099945,             0.00099945,             0.00099945
                      6,                 0.7972,                0.92602,                0.55468,                0.99736,                0.93302,                 0.7733,                0.84712,                0.62101,                0.92265,                0.76609,                0.83209,                0.55583,                 1.0551,                 1.9584,                0.97694,                 1.2054,             0.00099902,             0.00099902,             0.00099902
                      7,                 0.7332,                0.86661,                0.51553,                0.98042,                0.95158,                0.73801,                0.81866,                 0.6103,                0.93765,                0.72521,                0.79914,                0.53263,                 1.0632,                 2.1994,                 1.1238,                 1.1939,             0.00099847,             0.00099847,             0.00099847
                      8,                0.68907,                0.84177,                0.47759,                0.95505,                0.95796,                0.73055,                0.81768,                0.62341,                0.95062,                0.72251,                0.80312,                0.54377,                  1.045,                  2.099,                 1.0955,                 1.1747,              0.0009978,              0.0009978,              0.0009978
                      9,                0.65476,                0.80573,                0.46596,                0.92714,                0.93255,                0.73204,                0.81779,                0.61072,                0.92368,                0.72508,                0.80283,                0.54555,                 1.0327,                 1.9139,                  1.038,                  1.174,             0.00099701,             0.00099701,             0.00099701
                     10,                0.62366,                0.75078,                0.43142,                0.91812,                0.94036,                0.75068,                0.84397,                 0.6367,                0.93046,                0.73833,                0.82566,                0.55537,                 1.0318,                 2.1129,                 1.0366,                 1.1646,              0.0009961,              0.0009961,              0.0009961
                     11,                0.59638,                0.76339,                 0.4083,                0.90914,                0.93498,                0.82207,                0.87959,                0.67493,                0.92272,                0.81059,                0.86209,                0.58457,                0.94545,                 2.0116,                0.79521,                 1.1035,             0.00099506,             0.00099506,             0.00099506
                     12,                0.59939,                0.71577,                0.41514,                0.90235,                0.94141,                0.81876,                0.87395,                0.66654,                0.92951,                0.81293,                 0.8589,                0.57408,                0.94718,                 2.1622,                0.76126,                 1.1048,             0.00099391,             0.00099391,             0.00099391
                     13,                0.56053,                0.77805,                0.39519,                0.88972,                0.93971,                0.79042,                0.86002,                0.65787,                0.93046,                0.77825,                0.83939,                0.56148,                0.96566,                 2.2881,                0.87611,                 1.1234,             0.00099263,             0.00099263,             0.00099263
                     14,                0.54447,                0.68269,                0.37834,                 0.8898,                0.95292,                0.83512,                0.90166,                0.70273,                0.94246,                0.82237,                0.88262,                0.60819,                0.91595,                 1.9466,                0.69134,                 1.0942,             0.00099123,             0.00099123,             0.00099123
                     15,                0.54352,                0.70373,                0.37828,                0.87583,                0.95953,                0.81034,                0.88229,                0.68893,                0.94882,                0.79719,                0.86421,                0.59721,                0.90195,                 2.0184,                0.71934,                 1.0854,             0.00098972,             0.00098972,             0.00098972
                     16,                0.51172,                0.68414,                0.36084,                0.86877,                0.95652,                0.79021,                0.88003,                 0.6974,                0.94465,                0.78052,                0.86381,                0.60373,                 0.9013,                 1.9446,                0.74289,                 1.0855,             0.00098808,             0.00098808,             0.00098808
                     17,                0.51119,                0.72195,                0.36311,                 0.8702,                0.95607,                0.78439,                0.87148,                0.69133,                0.94668,                0.77669,                0.85477,                0.59764,                0.87172,                 2.0194,                0.74764,                 1.0799,             0.00098632,             0.00098632,             0.00098632
                     18,                 0.4843,                0.62368,                0.34061,                0.86292,                0.93995,                0.81233,                 0.8855,                0.71879,                0.93877,                0.80035,                0.87261,                0.62767,                0.82615,                 1.9093,                0.76581,                 1.0405,             0.00098445,             0.00098445,             0.00098445
                     19,                 0.4944,                0.66111,                0.34635,                0.86959,                0.95206,                0.82924,                  0.903,                0.72181,                0.93921,                0.81806,                0.88359,                0.61369,                0.83899,                 2.0553,                0.67773,                 1.0461,             0.00098246,             0.00098246,             0.00098246
                     20,                0.47505,                0.67853,                0.34184,                0.85487,                0.95848,                0.80363,                0.88571,                0.70808,                0.94484,                0.79219,                0.86721,                0.60498,                0.84597,                 1.9081,                0.67789,                 1.0521,             0.00098035,             0.00098035,             0.00098035
                     21,                0.46683,                 0.5954,                0.33552,                0.85446,                0.95465,                0.86229,                0.92792,                0.74371,                0.94463,                0.84808,                0.90941,                0.63281,                0.83482,                 2.1668,                0.55778,                 1.0383,             0.00097812,             0.00097812,             0.00097812
                     22,                0.47001,                0.61238,                0.33666,                0.85378,                0.96465,                 0.8004,                0.88635,                0.71724,                0.95161,                0.79145,                0.87245,                0.62151,                0.82198,                 2.0195,                0.71785,                 1.0433,             0.00097577,             0.00097577,             0.00097577
                     23,                0.45469,                0.61961,                0.33042,                0.84385,                0.97148,                0.82988,                0.90051,                0.72497,                0.96008,                0.81898,                0.88579,                0.61206,                0.80357,                 1.9578,                0.61567,                 1.0266,             0.00097331,             0.00097331,             0.00097331
                     24,                0.44385,                0.64793,                0.31639,                0.84333,                0.96016,                0.82376,                0.89389,                0.72091,                0.93991,                0.81407,                 0.8739,                0.61224,                0.80574,                 1.8717,                0.65151,                 1.0226,             0.00097074,             0.00097074,             0.00097074
                     25,                0.42909,                 0.6002,                 0.3121,                0.84667,                 0.9677,                0.82651,                0.89898,                0.72013,                0.95967,                0.81635,                  0.883,                0.61557,                0.82227,                 2.1188,                0.63756,                 1.0258,             0.00096804,             0.00096804,             0.00096804
                     26,                0.42817,                 0.5738,                  0.312,                0.84108,                0.96375,                0.85011,                0.92009,                0.73959,                0.95455,                 0.8406,                0.90379,                0.62698,                0.80423,                 2.1151,                0.56618,                 1.0211,             0.00096524,             0.00096524,             0.00096524
                     27,                0.43332,                0.58204,                0.31119,                0.84175,                0.96841,                0.81538,                0.88472,                 0.7144,                 0.9556,                0.80611,                0.86754,                0.60228,                0.80976,                 2.0383,                0.63447,                 1.0198,             0.00096232,             0.00096232,             0.00096232
                     28,                0.43216,                0.56599,                0.30959,                0.83754,                0.94966,                0.83843,                0.91292,                0.75279,                0.93643,                0.82675,                0.89863,                0.65127,                 0.7988,                 2.0155,                0.64543,                 1.0163,             0.00095929,             0.00095929,             0.00095929
                     29,                0.43053,                0.54643,                0.31203,                0.84934,                 0.9607,                0.79603,                0.87898,                0.72026,                0.95929,                0.77902,                0.86313,                0.61885,                0.79506,                 2.0241,                0.72935,                 1.0165,             0.00095614,             0.00095614,             0.00095614
                     30,                0.41243,                0.56826,                0.29916,                0.83553,                 0.9736,                0.82824,                 0.9033,                  0.737,                0.96621,                0.81728,                0.88633,                0.63048,                0.80024,                 2.2424,                0.60566,                 1.0238,             0.00095289,             0.00095289,             0.00095289
                     31,                0.41849,                0.57354,                0.30099,                0.84065,                0.97473,                0.81705,                0.91092,                0.75697,                0.96566,                0.80512,                0.89568,                0.64666,                0.75273,                 2.0465,                   0.59,                0.98871,             0.00094952,             0.00094952,             0.00094952
                     32,                0.40679,                0.54674,                0.29794,                0.83547,                0.96671,                0.81357,                0.87163,                0.70921,                0.95992,                0.80785,                0.86019,                0.60619,                0.78358,                 2.0152,                0.63819,                 1.0126,             0.00094605,             0.00094605,             0.00094605
                     33,                0.39702,                0.57241,                0.28763,                0.83322,                0.96903,                0.83644,                 0.8911,                0.73107,                 0.9601,                0.82873,                0.87954,                0.62247,                0.77075,                 1.9409,                0.62565,                0.99991,             0.00094246,             0.00094246,             0.00094246
                     34,                0.40343,                 0.5308,                0.29007,                0.83836,                0.96367,                0.77579,                 0.8558,                0.70559,                0.95777,                0.76783,                0.84377,                0.60308,                0.77646,                 1.9889,                0.72869,                 1.0037,             0.00093877,             0.00093877,             0.00093877
                     35,                0.39284,                0.46265,                0.28693,                0.82413,                0.95945,                0.84702,                0.90948,                0.74941,                0.94786,                0.83644,                 0.8948,                0.64187,                0.77867,                 2.2554,                 0.5766,                 1.0113,             0.00093497,             0.00093497,             0.00093497
                     36,                0.39642,                0.53317,                0.28896,                0.83272,                0.97416,                0.83394,                0.90441,                0.74138,                0.96394,                0.82401,                0.89106,                0.63288,                0.78112,                 1.9603,                0.57853,                 1.0106,             0.00093107,             0.00093107,             0.00093107
                     37,                0.39246,                0.50996,                0.28889,                0.82777,                0.96638,                0.83818,                0.91118,                0.74904,                0.95778,                0.82337,                0.89455,                0.63826,                0.78888,                 2.3586,                0.62661,                 1.0096,             0.00092706,             0.00092706,             0.00092706
                     38,                0.37675,                0.50611,                0.27723,                0.82309,                0.96284,                0.83371,                0.89649,                0.73361,                 0.9486,                0.82107,                0.87942,                0.62213,                0.77237,                 2.1873,                0.60238,                 1.0035,             0.00092294,             0.00092294,             0.00092294
                     39,                0.38883,                0.54074,                0.28384,                0.82205,                0.95958,                0.84638,                0.89993,                0.74237,                 0.9489,                0.83547,                0.88548,                0.63309,                0.75992,                 2.1218,                0.59919,                0.99459,             0.00091872,             0.00091872,             0.00091872
                     40,                0.38051,                0.50029,                0.27902,                0.82435,                0.97641,                0.84384,                0.92035,                0.76159,                0.96425,                0.83137,                0.90405,                0.64866,                0.75939,                 2.0508,                0.59054,                0.98852,              0.0009144,              0.0009144,              0.0009144
                     41,                0.38379,                0.52109,                0.27736,                0.82371,                0.96698,                0.84713,                0.92309,                0.77253,                0.95643,                 0.8347,                0.90868,                0.66626,                0.75973,                 2.0955,                 0.6053,                0.99503,             0.00090998,             0.00090998,             0.00090998
                     42,                 0.3792,                0.53727,                0.27428,                0.82857,                0.96374,                0.83594,                0.90432,                 0.7507,                0.95479,                0.82128,                0.88712,                  0.637,                0.74618,                 2.1645,                0.58883,                0.99227,             0.00090546,             0.00090546,             0.00090546
                     43,                0.37649,                0.52141,                0.27484,                0.82567,                0.97717,                0.79518,                0.88539,                0.73846,                0.95613,                0.79642,                0.87352,                0.62895,                0.73519,                 1.9086,                0.61617,                0.98662,             0.00090084,             0.00090084,             0.00090084
                     44,                 0.3685,                0.52623,                0.26877,                0.82436,                 0.9662,                0.84763,                0.91018,                0.75383,                0.95288,                0.83594,                0.89424,                0.64464,                0.75097,                 1.9965,                0.56361,                0.99094,             0.00089613,             0.00089613,             0.00089613
                     45,                0.37188,                0.50061,                0.27007,                0.82565,                0.97849,                0.81606,                0.91324,                0.76578,                0.96755,                0.80636,                0.89812,                0.65675,                0.74419,                 2.0376,                0.61191,                0.98697,             0.00089131,             0.00089131,             0.00089131
                     46,                 0.3687,                0.50379,                0.26947,                0.82233,                0.96191,                 0.8286,                0.89523,                 0.7419,                0.94658,                0.82302,                0.88097,                0.63229,                0.74466,                 2.0228,                0.61496,                0.98931,              0.0008864,              0.0008864,              0.0008864
                     47,                 0.3678,                0.46846,                0.26631,                0.81594,                 0.9693,                0.82177,                0.89046,                0.74551,                0.96022,                0.81407,                0.87898,                0.63763,                0.73008,                 2.0175,                0.62333,                0.98038,              0.0008814,              0.0008814,              0.0008814
                     48,                0.36214,                0.49924,                0.26575,                0.81943,                0.97056,                0.81138,                 0.8794,                 0.7287,                0.96016,                0.80268,                0.86474,                0.62096,                0.74172,                  2.015,                0.61472,                0.98468,              0.0008763,              0.0008763,              0.0008763
                     49,                0.35483,                0.50305,                0.26131,                0.81979,                0.96465,                0.84638,                0.91562,                0.76656,                0.95476,                0.83415,                0.90086,                0.65466,                 0.7443,                 2.1292,                0.58474,                0.98431,             0.00087112,             0.00087112,             0.00087112
                     50,                0.35617,                0.49729,                0.26203,                0.81773,                0.95767,                0.83172,                0.89953,                0.75248,                0.95714,                0.81332,                0.88415,                0.64185,                0.73975,                 2.0389,                0.59754,                0.97624,             0.00086584,             0.00086584,             0.00086584
                     51,                0.34262,                0.48126,                0.25212,                0.80887,                0.96843,                0.82354,                  0.898,                0.75448,                0.96059,                0.81258,                0.88251,                 0.6455,                0.73133,                 2.0619,                0.61122,                0.97561,             0.00086047,             0.00086047,             0.00086047
                     52,                0.35496,                0.46703,                0.26139,                0.81597,                0.97488,                0.83929,                0.90234,                0.74938,                0.96439,                 0.8279,                0.88779,                0.63496,                0.74024,                 2.0904,                0.57018,                0.98398,             0.00085502,             0.00085502,             0.00085502
                     53,                0.34352,                0.46613,                0.25082,                0.81288,                0.97538,                0.84837,                0.92077,                0.77415,                0.96219,                0.83967,                0.90695,                0.66447,                0.72915,                 2.0887,                0.55046,                0.97839,             0.00084948,             0.00084948,             0.00084948
                     54,                0.34249,                0.43344,                0.25313,                0.81335,                0.97256,                0.82812,                 0.8949,                0.74946,                0.96207,                0.81969,                0.88116,                0.64142,                0.72574,                 2.0851,                0.58862,                0.97494,             0.00084385,             0.00084385,             0.00084385
                     55,                0.34425,                0.48814,                0.25271,                0.80163,                0.97111,                0.84489,                0.91902,                0.77156,                0.95584,                0.83394,                 0.9038,                0.66085,                0.72376,                 2.1529,                0.53689,                 0.9751,             0.00083814,             0.00083814,             0.00083814
                     56,                0.33908,                0.44041,                0.24984,                0.80808,                0.96117,                0.86229,                0.92266,                0.77424,                0.94818,                0.85011,                0.90616,                0.66399,                0.72516,                  1.957,                0.52448,                0.97731,             0.00083235,             0.00083235,             0.00083235
